country,region,year,coalConsumption
Algeria,Africa,1965,70000
Argentina,Americas,1965,796000
Australia,Asia,1965,17400000
Austria,Europe,1965,5080000
Azerbaijan,Europe,1965,NA
Bangladesh,Asia,1965,0
Belarus,Europe,1965,NA
Belgium,Europe,1965,19200000
Brazil,Americas,1965,1740000
Bulgaria,Europe,1965,6000000
Canada,Americas,1965,15500000
Chile,Americas,1965,1160000
China,Asia,1965,114000000
Colombia,Americas,1965,2010000
Czech Republic,Europe,1965,35300000
Denmark,Europe,1965,3700000
Ecuador,Americas,1965,0
Egypt,Africa,1965,403000
Finland,Europe,1965,1740000
France,Europe,1965,41400000
Germany,Europe,1965,161000000
Greece,Europe,1965,2110000
Hungary,Europe,1965,10900000
India,Asia,1965,35500000
Indonesia,Asia,1965,129000
Iran,Asia,1965,211000
Ireland,Europe,1965,3130000
Israel,Asia,1965,0
Italy,Europe,1965,8630000
Japan,Asia,1965,48700000
Kazakhstan,Asia,1965,NA
Kuwait,Asia,1965,0
Lithuania,Europe,1965,NA
Malaysia,Asia,1965,15000
Mexico,Americas,1965,690000
Netherlands,Europe,1965,8860000
New Zealand,Asia,1965,1640000
Norway,Europe,1965,763000
Pakistan,Asia,1965,1380000
Peru,Americas,1965,36100
Philippines,Asia,1965,44300
Poland,Europe,1965,59500000
Portugal,Europe,1965,592000
Qatar,Asia,1965,0
Romania,Europe,1965,4360000
Russia,Europe,1965,NA
Saudi Arabia,Asia,1965,0
Singapore,Asia,1965,4000
Slovak Republic,Europe,1965,6040000
South Africa,Africa,1965,24700000
South Korea,Asia,1965,4950000
Spain,Europe,1965,9700000
Sweden,Europe,1965,2230000
Switzerland,Europe,1965,1280000
Thailand,Asia,1965,45000
Trinidad and Tobago,Americas,1965,0
Turkey,Europe,1965,3670000
Turkmenistan,Asia,1965,NA
Ukraine,Europe,1965,NA
United Arab Emirates,Asia,1965,0
United Kingdom,Europe,1965,117000000
United States,Americas,1965,292000000
Uzbekistan,Asia,1965,NA
Venezuela,Americas,1965,20000
Vietnam,Asia,1965,898000
Algeria,Africa,1966,68000
Argentina,Americas,1966,833000
Australia,Asia,1966,18000000
Austria,Europe,1966,4860000
Azerbaijan,Europe,1966,NA
Bangladesh,Asia,1966,0
Belarus,Europe,1966,NA
Belgium,Europe,1966,17500000
Brazil,Americas,1966,1880000
Bulgaria,Europe,1966,6180000
Canada,Americas,1966,15200000
Chile,Americas,1966,1200000
China,Asia,1966,122000000
Colombia,Americas,1966,2010000
Czech Republic,Europe,1966,35200000
Denmark,Europe,1966,4190000
Ecuador,Americas,1966,0
Egypt,Africa,1966,274000
Finland,Europe,1966,1620000
France,Europe,1966,38300000
Germany,Europe,1966,150000000
Greece,Europe,1966,2100000
Hungary,Europe,1966,10500000
India,Asia,1966,35500000
Indonesia,Asia,1966,158000
Iran,Asia,1966,232000
Ireland,Europe,1966,3560000
Israel,Asia,1966,0
Italy,Europe,1966,8970000
Japan,Asia,1966,51900000
Kazakhstan,Asia,1966,NA
Kuwait,Asia,1966,0
Lithuania,Europe,1966,NA
Malaysia,Asia,1966,20000
Mexico,Americas,1966,736000
Netherlands,Europe,1966,8070000
New Zealand,Asia,1966,1600000
Norway,Europe,1966,703000
Pakistan,Asia,1966,1160000
Peru,Americas,1966,45500
Philippines,Asia,1966,42000
Poland,Europe,1966,60300000
Portugal,Europe,1966,604000
Qatar,Asia,1966,0
Romania,Europe,1966,4700000
Russia,Europe,1966,NA
Saudi Arabia,Asia,1966,0
Singapore,Asia,1966,5000
Slovak Republic,Europe,1966,6110000
South Africa,Africa,1966,24300000
South Korea,Asia,1966,5610000
Spain,Europe,1966,8970000
Sweden,Europe,1966,2130000
Switzerland,Europe,1966,1050000
Thailand,Asia,1966,65000
Trinidad and Tobago,Americas,1966,0
Turkey,Europe,1966,4080000
Turkmenistan,Asia,1966,NA
Ukraine,Europe,1966,NA
United Arab Emirates,Asia,1966,0
United Kingdom,Europe,1966,112000000
United States,Americas,1966,306000000
Uzbekistan,Asia,1966,NA
Venezuela,Americas,1966,21000
Vietnam,Asia,1966,943000
Algeria,Africa,1967,52000
Argentina,Americas,1967,817000
Australia,Asia,1967,18500000
Austria,Europe,1967,4600000
Azerbaijan,Europe,1967,NA
Bangladesh,Asia,1967,0
Belarus,Europe,1967,NA
Belgium,Europe,1967,17200000
Brazil,Americas,1967,1940000
Bulgaria,Europe,1967,6710000
Canada,Americas,1967,15000000
Chile,Americas,1967,1200000
China,Asia,1967,109000000
Colombia,Americas,1967,2210000
Czech Republic,Europe,1967,34100000
Denmark,Europe,1967,3590000
Ecuador,Americas,1967,0
Egypt,Africa,1967,422000
Finland,Europe,1967,1560000
France,Europe,1967,37800000
Germany,Europe,1967,145000000
Greece,Europe,1967,2010000
Hungary,Europe,1967,9080000
India,Asia,1967,36100000
Indonesia,Asia,1967,111000
Iran,Asia,1967,256000
Ireland,Europe,1967,3790000
Israel,Asia,1967,0
Italy,Europe,1967,9830000
Japan,Asia,1967,57000000
Kazakhstan,Asia,1967,NA
Kuwait,Asia,1967,0
Lithuania,Europe,1967,NA
Malaysia,Asia,1967,12000
Mexico,Americas,1967,903000
Netherlands,Europe,1967,7760000
New Zealand,Asia,1967,1460000
Norway,Europe,1967,738000
Pakistan,Asia,1967,1120000
Peru,Americas,1967,51300
Philippines,Asia,1967,32700
Poland,Europe,1967,61400000
Portugal,Europe,1967,601000
Qatar,Asia,1967,0
Romania,Europe,1967,5200000
Russia,Europe,1967,NA
Saudi Arabia,Asia,1967,0
Singapore,Asia,1967,3000
Slovak Republic,Europe,1967,5900000
South Africa,Africa,1967,25000000
South Korea,Asia,1967,5350000
Spain,Europe,1967,9120000
Sweden,Europe,1967,2110000
Switzerland,Europe,1967,889000
Thailand,Asia,1967,116000
Trinidad and Tobago,Americas,1967,0
Turkey,Europe,1967,3620000
Turkmenistan,Asia,1967,NA
Ukraine,Europe,1967,NA
United Arab Emirates,Asia,1967,0
United Kingdom,Europe,1967,104000000
United States,Americas,1967,300000000
Uzbekistan,Asia,1967,NA
Venezuela,Americas,1967,22000
Vietnam,Asia,1967,1030000
Algeria,Africa,1968,55000
Argentina,Americas,1968,657000
Australia,Asia,1968,19100000
Austria,Europe,1968,4540000
Azerbaijan,Europe,1968,NA
Bangladesh,Asia,1968,0
Belarus,Europe,1968,NA
Belgium,Europe,1968,17700000
Brazil,Americas,1968,1910000
Bulgaria,Europe,1968,7290000
Canada,Americas,1968,16300000
Chile,Americas,1968,1200000
China,Asia,1968,108000000
Colombia,Americas,1968,2010000
Czech Republic,Europe,1968,35300000
Denmark,Europe,1968,3220000
Ecuador,Americas,1968,0
Egypt,Africa,1968,439000
Finland,Europe,1968,1870000
France,Europe,1968,36400000
Germany,Europe,1968,147000000
Greece,Europe,1968,2270000
Hungary,Europe,1968,8960000
India,Asia,1968,37300000
Indonesia,Asia,1968,83000
Iran,Asia,1968,282000
Ireland,Europe,1968,4630000
Israel,Asia,1968,0
Italy,Europe,1968,9520000
Japan,Asia,1968,58700000
